Date,Medicine,Sales,Drugstores
1/14/2014 12:00,M01AB,0.0,Drugstore B
1/15/2014 0:00,M01AB,0.0,Drugstore B
1/15/2014 4:00,M01AB,0.0,Drugstore B
1/15/2014 8:00,M01AB,0.0,Drugstore B
1/15/2014 10:00,M01AB,0.0,Drugstore B
1/16/2014 1:00,M01AB,0.0,Drugstore B
1/16/2014 6:00,M01AB,0.0,Drugstore B
1/16/2014 18:00,M01AB,1.0,Drugstore B
1/17/2014 1:00,M01AB,0.0,Drugstore B
1/17/2014 13:00,M01AB,0.0,Drugstore B
1/17/2014 15:00,M01AB,0.0,Drugstore B
1/17/2014 18:00,M01AB,0.0,Drugstore B
1/18/2014 11:00,M01AB,0.0,Drugstore B
1/18/2014 12:00,M01AB,0.0,Drugstore B
1/18/2014 22:00,M01AB,0.0,Drugstore B
1/20/2014 10:00,M01AB,0.0,Drugstore B
1/20/2014 11:00,M01AB,2.0,Drugstore B
1/20/2014 18:00,M01AB,0.0,Drugstore B
1/20/2014 21:00,M01AB,0.0,Drugstore B
1/20/2014 23:00,M01AB,0.0,Drugstore B
1/21/2014 1:00,M01AB,0.0,Drugstore B
1/21/2014 2:00,M01AB,0.0,Drugstore B
1/21/2014 11:00,M01AB,0.0,Drugstore B
1/22/2014 0:00,M01AB,0.0,Drugstore B
1/22/2014 8:00,M01AB,0.0,Drugstore B
1/22/2014 12:00,M01AB,1.0,Drugstore B
1/22/2014 15:00,M01AB,1.0,Drugstore B
1/23/2014 1:00,M01AB,0.0,Drugstore B
1/24/2014 0:00,M01AB,0.0,Drugstore B
1/24/2014 1:00,M01AB,0.0,Drugstore B
1/24/2014 2:00,M01AB,0.0,Drugstore B
1/24/2014 7:00,M01AB,0.0,Drugstore B
1/25/2014 0:00,M01AB,0.0,Drugstore B
1/25/2014 5:00,M01AB,0.0,Drugstore B
1/25/2014 17:00,M01AB,0.0,Drugstore B
1/26/2014 5:00,M01AB,0.0,Drugstore B
1/26/2014 7:00,M01AB,0.0,Drugstore B
1/26/2014 10:00,M01AB,0.33,Drugstore B
1/26/2014 11:00,M01AB,2.0,Drugstore B
1/26/2014 19:00,M01AB,0.0,Drugstore B
1/27/2014 6:00,M01AB,0.0,Drugstore B
1/27/2014 15:00,M01AB,0.0,Drugstore B
1/28/2014 0:00,M01AB,0.0,Drugstore B
1/28/2014 6:00,M01AB,0.0,Drugstore B
1/28/2014 16:00,M01AB,0.0,Drugstore B
1/29/2014 5:00,M01AB,0.0,Drugstore B
1/29/2014 6:00,M01AB,0.0,Drugstore B
1/29/2014 17:00,M01AB,1.0,Drugstore B
1/30/2014 0:00,M01AB,0.0,Drugstore B
1/30/2014 3:00,M01AB,0.0,Drugstore B
1/30/2014 4:00,M01AB,0.0,Drugstore B
1/30/2014 10:00,M01AB,0.0,Drugstore B
1/31/2014 9:00,M01AB,0.0,Drugstore B
1/31/2014 11:00,M01AB,0.0,Drugstore B
1/31/2014 17:00,M01AB,0.0,Drugstore B
2/1/2014 3:00,M01AB,0.0,Drugstore B
2/1/2014 10:00,M01AB,0.0,Drugstore B
2/1/2014 12:00,M01AB,0.33,Drugstore B
2/1/2014 15:00,M01AB,0.0,Drugstore B
2/1/2014 17:00,M01AB,1.0,Drugstore B
2/2/2014 2:00,M01AB,0.0,Drugstore B
2/2/2014 6:00,M01AB,0.0,Drugstore B
2/2/2014 7:00,M01AB,0.0,Drugstore B
2/2/2014 8:00,M01AB,1.0,Drugstore B
2/2/2014 18:00,M01AB,0.0,Drugstore B
2/3/2014 1:00,M01AB,0.0,Drugstore B
2/3/2014 11:00,M01AB,0.0,Drugstore B
2/3/2014 15:00,M01AB,0.0,Drugstore B
2/3/2014 17:00,M01AB,0.0,Drugstore B
2/3/2014 18:00,M01AB,1.0,Drugstore B
2/3/2014 21:00,M01AB,1.0,Drugstore B
2/4/2014 11:00,M01AB,0.0,Drugstore B
2/4/2014 12:00,M01AB,0.33,Drugstore B
2/4/2014 16:00,M01AB,0.0,Drugstore B
2/5/2014 9:00,M01AB,0.0,Drugstore B
2/6/2014 5:00,M01AB,0.0,Drugstore B
2/6/2014 16:00,M01AB,0.0,Drugstore B
2/6/2014 23:00,M01AB,0.0,Drugstore B
2/7/2014 14:00,M01AB,0.0,Drugstore B
2/7/2014 17:00,M01AB,0.0,Drugstore B
2/8/2014 8:00,M01AB,0.0,Drugstore B
2/8/2014 9:00,M01AB,1.33,Drugstore B
2/8/2014 10:00,M01AB,0.0,Drugstore B
2/8/2014 13:00,M01AB,1.0,Drugstore B
2/9/2014 2:00,M01AB,0.0,Drugstore B
2/9/2014 10:00,M01AB,0.0,Drugstore B
2/9/2014 18:00,M01AB,0.0,Drugstore B
2/10/2014 14:00,M01AB,1.0,Drugstore B
2/10/2014 16:00,M01AB,0.0,Drugstore B
2/10/2014 20:00,M01AB,0.0,Drugstore B
2/11/2014 7:00,M01AB,0.0,Drugstore B
2/11/2014 9:00,M01AB,0.0,Drugstore B
2/12/2014 2:00,M01AB,0.0,Drugstore B
2/12/2014 5:00,M01AB,0.0,Drugstore B
2/12/2014 7:00,M01AB,0.0,Drugstore B
2/12/2014 12:00,M01AB,1.0,Drugstore B
2/12/2014 17:00,M01AB,0.0,Drugstore B
2/13/2014 0:00,M01AB,0.0,Drugstore B
2/13/2014 5:00,M01AB,0.0,Drugstore B
2/13/2014 7:00,M01AB,0.0,Drugstore B
2/13/2014 9:00,M01AB,0.0,Drugstore B
2/13/2014 14:00,M01AB,0.0,Drugstore B
2/14/2014 4:00,M01AB,0.0,Drugstore B
2/14/2014 14:00,M01AB,1.0,Drugstore B
2/14/2014 23:00,M01AB,0.0,Drugstore B
2/15/2014 1:00,M01AB,0.0,Drugstore B
2/15/2014 8:00,M01AB,0.0,Drugstore B
2/15/2014 15:00,M01AB,0.0,Drugstore B
2/15/2014 19:00,M01AB,0.0,Drugstore B
2/16/2014 7:00,M01AB,0.0,Drugstore B
2/16/2014 23:00,M01AB,0.0,Drugstore B
2/17/2014 5:00,M01AB,0.0,Drugstore B
2/17/2014 7:00,M01AB,0.0,Drugstore B
2/17/2014 8:00,M01AB,0.0,Drugstore B
2/17/2014 9:00,M01AB,1.0,Drugstore B
2/17/2014 19:00,M01AB,0.0,Drugstore B
2/17/2014 20:00,M01AB,0.0,Drugstore B
2/18/2014 2:00,M01AB,0.0,Drugstore B
2/18/2014 7:00,M01AB,0.0,Drugstore B
2/18/2014 11:00,M01AB,0.0,Drugstore B
2/18/2014 21:00,M01AB,1.0,Drugstore B
2/19/2014 2:00,M01AB,0.0,Drugstore B
2/19/2014 6:00,M01AB,0.0,Drugstore B
2/19/2014 12:00,M01AB,0.0,Drugstore B
2/19/2014 14:00,M01AB,2.0,Drugstore B
2/19/2014 18:00,M01AB,0.0,Drugstore B
2/19/2014 23:00,M01AB,0.0,Drugstore B
2/20/2014 7:00,M01AB,0.0,Drugstore B
2/20/2014 8:00,M01AB,0.0,Drugstore B
2/20/2014 12:00,M01AB,0.0,Drugstore B
2/20/2014 20:00,M01AB,0.0,Drugstore B
2/20/2014 23:00,M01AB,0.0,Drugstore B
2/21/2014 8:00,M01AB,0.0,Drugstore B
2/21/2014 11:00,M01AB,1.0,Drugstore B
2/21/2014 15:00,M01AB,0.0,Drugstore B
2/21/2014 17:00,M01AB,0.0,Drugstore B
2/21/2014 20:00,M01AB,1.0,Drugstore B
2/22/2014 5:00,M01AB,0.0,Drugstore B
2/22/2014 9:00,M01AB,0.0,Drugstore B
2/22/2014 11:00,M01AB,1.0,Drugstore B
2/22/2014 14:00,M01AB,0.0,Drugstore B
2/22/2014 17:00,M01AB,0.0,Drugstore B
2/22/2014 18:00,M01AB,0.0,Drugstore B
2/22/2014 19:00,M01AB,1.0,Drugstore B
2/22/2014 21:00,M01AB,0.0,Drugstore B
2/22/2014 23:00,M01AB,0.0,Drugstore B
2/23/2014 2:00,M01AB,0.0,Drugstore B
2/23/2014 14:00,M01AB,0.0,Drugstore B
2/23/2014 17:00,M01AB,0.0,Drugstore B
2/24/2014 13:00,M01AB,0.0,Drugstore B
2/24/2014 17:00,M01AB,0.0,Drugstore B
2/24/2014 19:00,M01AB,1.0,Drugstore B
2/24/2014 20:00,M01AB,0.0,Drugstore B
2/25/2014 6:00,M01AB,0.0,Drugstore B
2/25/2014 12:00,M01AB,0.0,Drugstore B
2/25/2014 15:00,M01AB,1.0,Drugstore B
2/26/2014 3:00,M01AB,0.0,Drugstore B
2/26/2014 8:00,M01AB,0.0,Drugstore B
2/26/2014 15:00,M01AB,1.0,Drugstore B
2/26/2014 21:00,M01AB,1.0,Drugstore B
2/27/2014 5:00,M01AB,0.0,Drugstore B
2/27/2014 6:00,M01AB,0.0,Drugstore B
2/27/2014 19:00,M01AB,1.0,Drugstore B
2/28/2014 2:00,M01AB,0.0,Drugstore B
2/28/2014 8:00,M01AB,0.0,Drugstore B
2/28/2014 11:00,M01AB,0.0,Drugstore B
2/28/2014 12:00,M01AB,2.0,Drugstore B
2/28/2014 14:00,M01AB,1.0,Drugstore B
2/28/2014 20:00,M01AB,0.0,Drugstore B
3/1/2014 4:00,M01AB,0.0,Drugstore B
3/1/2014 9:00,M01AB,0.0,Drugstore B
3/1/2014 17:00,M01AB,1.0,Drugstore B
3/2/2014 4:00,M01AB,0.0,Drugstore B
3/3/2014 11:00,M01AB,0.0,Drugstore B
3/4/2014 16:00,M01AB,0.0,Drugstore B
3/4/2014 18:00,M01AB,0.0,Drugstore B
3/5/2014 3:00,M01AB,0.0,Drugstore B
3/5/2014 22:00,M01AB,0.0,Drugstore B
3/6/2014 13:00,M01AB,0.0,Drugstore B
3/6/2014 21:00,M01AB,0.0,Drugstore B
3/7/2014 10:00,M01AB,0.0,Drugstore B
3/7/2014 12:00,M01AB,0.0,Drugstore B
3/7/2014 21:00,M01AB,0.0,Drugstore B
3/9/2014 2:00,M01AB,0.0,Drugstore B
3/9/2014 6:00,M01AB,0.0,Drugstore B
3/9/2014 14:00,M01AB,0.0,Drugstore B
3/9/2014 19:00,M01AB,0.0,Drugstore B
3/9/2014 20:00,M01AB,0.0,Drugstore B
3/9/2014 22:00,M01AB,0.0,Drugstore B
3/10/2014 6:00,M01AB,0.0,Drugstore B
3/10/2014 17:00,M01AB,1.0,Drugstore B
3/10/2014 20:00,M01AB,0.0,Drugstore B
3/11/2014 1:00,M01AB,0.0,Drugstore B
3/11/2014 10:00,M01AB,0.0,Drugstore B
3/12/2014 0:00,M01AB,0.0,Drugstore B
3/12/2014 7:00,M01AB,0.0,Drugstore B
3/12/2014 10:00,M01AB,0.0,Drugstore B
3/12/2014 20:00,M01AB,0.0,Drugstore B
3/12/2014 21:00,M01AB,1.0,Drugstore B
3/13/2014 6:00,M01AB,0.0,Drugstore B
3/13/2014 8:00,M01AB,0.0,Drugstore B
3/13/2014 12:00,M01AB,1.31,Drugstore B
3/14/2014 6:00,M01AB,0.0,Drugstore B
3/14/2014 12:00,M01AB,0.34,Drugstore B
3/14/2014 17:00,M01AB,0.0,Drugstore B
3/15/2014 0:00,M01AB,0.0,Drugstore B
3/15/2014 2:00,M01AB,0.0,Drugstore B
3/15/2014 12:00,M01AB,1.0,Drugstore B
3/15/2014 16:00,M01AB,1.0,Drugstore B
3/16/2014 3:00,M01AB,0.0,Drugstore B
3/16/2014 6:00,M01AB,0.0,Drugstore B
3/16/2014 8:00,M01AB,0.0,Drugstore B
3/16/2014 9:00,M01AB,0.34,Drugstore B
3/16/2014 17:00,M01AB,0.0,Drugstore B
3/16/2014 23:00,M01AB,0.0,Drugstore B
3/17/2014 5:00,M01AB,0.0,Drugstore B
3/17/2014 9:00,M01AB,0.0,Drugstore B
3/17/2014 17:00,M01AB,0.0,Drugstore B
3/18/2014 1:00,M01AB,0.0,Drugstore B
3/18/2014 2:00,M01AB,0.0,Drugstore B
3/18/2014 6:00,M01AB,0.0,Drugstore B
3/18/2014 13:00,M01AB,0.0,Drugstore B
3/18/2014 15:00,M01AB,0.0,Drugstore B
3/18/2014 17:00,M01AB,1.0,Drugstore B
3/18/2014 20:00,M01AB,0.0,Drugstore B
3/18/2014 21:00,M01AB,0.0,Drugstore B
3/20/2014 7:00,M01AB,0.0,Drugstore B
3/20/2014 11:00,M01AB,1.0,Drugstore B
3/21/2014 8:00,M01AB,0.0,Drugstore B
3/21/2014 14:00,M01AB,0.0,Drugstore B
3/22/2014 5:00,M01AB,0.0,Drugstore B
3/22/2014 8:00,M01AB,0.0,Drugstore B
3/22/2014 13:00,M01AB,0.0,Drugstore B
3/23/2014 1:00,M01AB,0.0,Drugstore B
3/23/2014 2:00,M01AB,0.0,Drugstore B
3/23/2014 4:00,M01AB,0.0,Drugstore B
3/23/2014 10:00,M01AB,2.0,Drugstore B
3/23/2014 12:00,M01AB,0.34,Drugstore B
3/24/2014 9:00,M01AB,0.0,Drugstore B
3/24/2014 10:00,M01AB,0.0,Drugstore B
3/24/2014 14:00,M01AB,0.0,Drugstore B
3/25/2014 8:00,M01AB,1.0,Drugstore B
3/25/2014 9:00,M01AB,0.0,Drugstore B
3/25/2014 12:00,M01AB,0.0,Drugstore B
3/25/2014 14:00,M01AB,0.0,Drugstore B
3/25/2014 17:00,M01AB,1.0,Drugstore B
3/26/2014 0:00,M01AB,0.0,Drugstore B
3/26/2014 7:00,M01AB,0.0,Drugstore B
3/26/2014 20:00,M01AB,1.0,Drugstore B
3/27/2014 6:00,M01AB,0.0,Drugstore B
3/27/2014 10:00,M01AB,0.0,Drugstore B
3/27/2014 14:00,M01AB,0.0,Drugstore B
3/27/2014 19:00,M01AB,1.0,Drugstore B
3/27/2014 22:00,M01AB,0.0,Drugstore B
3/27/2014 23:00,M01AB,0.0,Drugstore B
3/28/2014 3:00,M01AB,0.0,Drugstore B
3/28/2014 10:00,M01AB,0.34,Drugstore B
3/30/2014 1:00,M01AB,0.0,Drugstore B
3/30/2014 3:00,M01AB,0.0,Drugstore B
3/30/2014 19:00,M01AB,0.0,Drugstore B
3/31/2014 2:00,M01AB,0.0,Drugstore B
3/31/2014 11:00,M01AB,1.0,Drugstore B
3/31/2014 19:00,M01AB,0.0,Drugstore B
3/31/2014 22:00,M01AB,0.0,Drugstore B
4/1/2014 5:00,M01AB,0.0,Drugstore B
4/1/2014 8:00,M01AB,0.0,Drugstore B
4/1/2014 23:00,M01AB,0.0,Drugstore B
4/2/2014 0:00,M01AB,0.0,Drugstore B
4/2/2014 2:00,M01AB,0.0,Drugstore B
4/2/2014 13:00,M01AB,0.0,Drugstore B
4/2/2014 14:00,M01AB,0.0,Drugstore B
4/2/2014 16:00,M01AB,0.0,Drugstore B
4/2/2014 19:00,M01AB,0.0,Drugstore B
4/2/2014 20:00,M01AB,0.0,Drugstore B
4/2/2014 22:00,M01AB,0.0,Drugstore B
4/3/2014 0:00,M01AB,0.0,Drugstore B
4/3/2014 2:00,M01AB,0.0,Drugstore B
4/3/2014 6:00,M01AB,0.0,Drugstore B
4/3/2014 12:00,M01AB,0.0,Drugstore B
4/3/2014 20:00,M01AB,0.0,Drugstore B
4/4/2014 1:00,M01AB,0.0,Drugstore B
4/4/2014 6:00,M01AB,0.0,Drugstore B
4/4/2014 13:00,M01AB,1.0,Drugstore B
4/4/2014 16:00,M01AB,0.0,Drugstore B
4/5/2014 1:00,M01AB,0.0,Drugstore B
4/5/2014 7:00,M01AB,0.0,Drugstore B
4/5/2014 11:00,M01AB,1.0,Drugstore B
4/5/2014 12:00,M01AB,0.0,Drugstore B
4/5/2014 21:00,M01AB,0.0,Drugstore B
4/6/2014 2:00,M01AB,0.0,Drugstore B
4/6/2014 4:00,M01AB,0.0,Drugstore B
4/6/2014 18:00,M01AB,0.0,Drugstore B
4/6/2014 19:00,M01AB,0.0,Drugstore B
4/7/2014 0:00,M01AB,0.0,Drugstore B
4/7/2014 2:00,M01AB,0.0,Drugstore B
4/7/2014 4:00,M01AB,0.0,Drugstore B
4/7/2014 5:00,M01AB,0.0,Drugstore B
4/7/2014 22:00,M01AB,0.0,Drugstore B
4/8/2014 2:00,M01AB,0.0,Drugstore B
4/8/2014 3:00,M01AB,0.0,Drugstore B
4/8/2014 9:00,M01AB,0.0,Drugstore B
4/8/2014 10:00,M01AB,0.0,Drugstore B
4/8/2014 16:00,M01AB,0.0,Drugstore B
4/8/2014 17:00,M01AB,0.0,Drugstore B
4/8/2014 18:00,M01AB,1.0,Drugstore B
4/8/2014 21:00,M01AB,1.0,Drugstore B
4/9/2014 1:00,M01AB,0.0,Drugstore B
4/9/2014 3:00,M01AB,0.0,Drugstore B
4/10/2014 0:00,M01AB,0.0,Drugstore B
4/10/2014 5:00,M01AB,0.0,Drugstore B
4/10/2014 16:00,M01AB,0.0,Drugstore B
4/10/2014 20:00,M01AB,1.0,Drugstore B
4/11/2014 3:00,M01AB,0.0,Drugstore B
4/11/2014 7:00,M01AB,0.0,Drugstore B
4/11/2014 8:00,M01AB,0.0,Drugstore B
4/11/2014 12:00,M01AB,0.0,Drugstore B
4/11/2014 13:00,M01AB,0.0,Drugstore B
4/11/2014 18:00,M01AB,2.0,Drugstore B
4/12/2014 1:00,M01AB,0.0,Drugstore B
4/12/2014 3:00,M01AB,0.0,Drugstore B
4/12/2014 8:00,M01AB,0.0,Drugstore B
4/12/2014 17:00,M01AB,0.0,Drugstore B
4/13/2014 0:00,M01AB,0.0,Drugstore B
4/13/2014 5:00,M01AB,0.0,Drugstore B
4/13/2014 14:00,M01AB,0.0,Drugstore B
4/13/2014 17:00,M01AB,0.0,Drugstore B
4/14/2014 5:00,M01AB,0.0,Drugstore B
4/14/2014 12:00,M01AB,0.34,Drugstore B
4/14/2014 16:00,M01AB,0.0,Drugstore B
4/14/2014 17:00,M01AB,0.0,Drugstore B
4/15/2014 3:00,M01AB,0.0,Drugstore B
4/16/2014 8:00,M01AB,0.0,Drugstore B
4/16/2014 20:00,M01AB,1.0,Drugstore B
4/16/2014 22:00,M01AB,0.0,Drugstore B
4/17/2014 23:00,M01AB,0.0,Drugstore B
4/18/2014 0:00,M01AB,0.0,Drugstore B
4/18/2014 7:00,M01AB,0.0,Drugstore B
4/18/2014 22:00,M01AB,0.0,Drugstore B
4/19/2014 9:00,M01AB,0.0,Drugstore B
4/19/2014 11:00,M01AB,1.34,Drugstore B
4/20/2014 3:00,M01AB,0.0,Drugstore B
4/20/2014 7:00,M01AB,0.0,Drugstore B
4/21/2014 1:00,M01AB,0.0,Drugstore B
4/21/2014 6:00,M01AB,0.0,Drugstore B
4/21/2014 7:00,M01AB,0.0,Drugstore B
4/21/2014 8:00,M01AB,1.0,Drugstore B
4/21/2014 9:00,M01AB,0.0,Drugstore B
4/21/2014 14:00,M01AB,0.0,Drugstore B
4/21/2014 16:00,M01AB,0.0,Drugstore B
4/21/2014 23:00,M01AB,0.0,Drugstore B
4/22/2014 16:00,M01AB,0.0,Drugstore B
4/22/2014 20:00,M01AB,0.0,Drugstore B
4/23/2014 8:00,M01AB,0.0,Drugstore B
4/23/2014 18:00,M01AB,0.0,Drugstore B
4/24/2014 0:00,M01AB,0.0,Drugstore B
4/24/2014 2:00,M01AB,0.0,Drugstore B
4/24/2014 9:00,M01AB,0.0,Drugstore B
4/24/2014 12:00,M01AB,1.0,Drugstore B
4/24/2014 20:00,M01AB,0.0,Drugstore B
4/25/2014 2:00,M01AB,0.0,Drugstore B
4/25/2014 6:00,M01AB,0.0,Drugstore B
4/25/2014 14:00,M01AB,0.0,Drugstore B
4/26/2014 3:00,M01AB,0.0,Drugstore B
4/26/2014 4:00,M01AB,0.0,Drugstore B
4/26/2014 9:00,M01AB,2.0,Drugstore B
4/26/2014 14:00,M01AB,0.0,Drugstore B
4/26/2014 19:00,M01AB,0.0,Drugstore B
4/26/2014 21:00,M01AB,0.0,Drugstore B
4/27/2014 2:00,M01AB,0.0,Drugstore B
4/27/2014 5:00,M01AB,0.0,Drugstore B
4/27/2014 9:00,M01AB,0.0,Drugstore B
4/27/2014 13:00,M01AB,2.0,Drugstore B
4/27/2014 16:00,M01AB,0.0,Drugstore B
4/28/2014 1:00,M01AB,0.0,Drugstore B
4/28/2014 3:00,M01AB,0.0,Drugstore B
4/28/2014 5:00,M01AB,0.0,Drugstore B
4/28/2014 7:00,M01AB,0.0,Drugstore B
4/28/2014 9:00,M01AB,0.34,Drugstore B
4/28/2014 14:00,M01AB,0.0,Drugstore B
4/28/2014 21:00,M01AB,0.0,Drugstore B
4/28/2014 22:00,M01AB,0.0,Drugstore B
4/29/2014 11:00,M01AB,0.0,Drugstore B
4/30/2014 0:00,M01AB,0.0,Drugstore B
5/1/2014 22:00,M01AB,0.0,Drugstore B
5/2/2014 0:00,M01AB,0.0,Drugstore B
5/2/2014 10:00,M01AB,0.34,Drugstore B
5/2/2014 18:00,M01AB,0.0,Drugstore B
5/3/2014 0:00,M01AB,0.0,Drugstore B
5/4/2014 8:00,M01AB,0.0,Drugstore B
5/4/2014 9:00,M01AB,0.0,Drugstore B
5/4/2014 11:00,M01AB,0.34,Drugstore B
5/4/2014 17:00,M01AB,0.0,Drugstore B
5/4/2014 21:00,M01AB,0.0,Drugstore B
5/5/2014 0:00,M01AB,0.0,Drugstore B
5/5/2014 9:00,M01AB,0.0,Drugstore B
5/5/2014 13:00,M01AB,0.0,Drugstore B
5/5/2014 14:00,M01AB,2.0,Drugstore B
5/5/2014 18:00,M01AB,0.0,Drugstore B
5/6/2014 2:00,M01AB,0.0,Drugstore B
5/6/2014 5:00,M01AB,0.0,Drugstore B
5/6/2014 8:00,M01AB,4.0,Drugstore B
5/6/2014 22:00,M01AB,0.0,Drugstore B
5/7/2014 7:00,M01AB,0.33,Drugstore B
5/7/2014 15:00,M01AB,0.0,Drugstore B
5/7/2014 17:00,M01AB,0.0,Drugstore B
5/8/2014 1:00,M01AB,0.0,Drugstore B
5/8/2014 2:00,M01AB,0.0,Drugstore B
5/8/2014 5:00,M01AB,0.0,Drugstore B
5/8/2014 11:00,M01AB,1.0,Drugstore B
5/9/2014 3:00,M01AB,0.0,Drugstore B
5/9/2014 13:00,M01AB,0.0,Drugstore B
5/9/2014 16:00,M01AB,0.0,Drugstore B
5/9/2014 19:00,M01AB,0.0,Drugstore B
5/10/2014 4:00,M01AB,0.0,Drugstore B
5/10/2014 5:00,M01AB,0.0,Drugstore B
5/10/2014 8:00,M01AB,0.0,Drugstore B
5/10/2014 11:00,M01AB,3.0,Drugstore B
5/10/2014 22:00,M01AB,0.0,Drugstore B
5/11/2014 10:00,M01AB,1.0,Drugstore B
5/11/2014 16:00,M01AB,0.0,Drugstore B
5/12/2014 2:00,M01AB,0.0,Drugstore B
5/12/2014 6:00,M01AB,0.0,Drugstore B
5/12/2014 10:00,M01AB,1.0,Drugstore B
5/12/2014 12:00,M01AB,0.0,Drugstore B
5/13/2014 7:00,M01AB,0.0,Drugstore B
5/13/2014 13:00,M01AB,0.34,Drugstore B
5/13/2014 14:00,M01AB,0.0,Drugstore B
5/14/2014 6:00,M01AB,0.0,Drugstore B
5/14/2014 12:00,M01AB,0.0,Drugstore B
5/14/2014 16:00,M01AB,0.0,Drugstore B
5/14/2014 21:00,M01AB,0.0,Drugstore B
5/15/2014 11:00,M01AB,0.0,Drugstore B
5/15/2014 14:00,M01AB,0.0,Drugstore B
5/15/2014 20:00,M01AB,1.0,Drugstore B
5/16/2014 17:00,M01AB,0.0,Drugstore B
5/17/2014 22:00,M01AB,0.0,Drugstore B
5/17/2014 23:00,M01AB,0.0,Drugstore B
5/18/2014 1:00,M01AB,0.0,Drugstore B
5/18/2014 17:00,M01AB,0.0,Drugstore B
5/19/2014 9:00,M01AB,0.0,Drugstore B
5/19/2014 16:00,M01AB,0.34,Drugstore B
5/19/2014 19:00,M01AB,2.0,Drugstore B
5/19/2014 22:00,M01AB,0.0,Drugstore B
5/20/2014 7:00,M01AB,0.0,Drugstore B
5/20/2014 11:00,M01AB,0.0,Drugstore B
5/20/2014 16:00,M01AB,0.0,Drugstore B
5/21/2014 0:00,M01AB,0.0,Drugstore B
5/21/2014 6:00,M01AB,0.0,Drugstore B
5/21/2014 8:00,M01AB,0.0,Drugstore B
5/21/2014 9:00,M01AB,0.0,Drugstore B
5/21/2014 11:00,M01AB,0.0,Drugstore B
5/21/2014 15:00,M01AB,0.0,Drugstore B
5/22/2014 9:00,M01AB,0.34,Drugstore B
5/22/2014 14:00,M01AB,0.0,Drugstore B
5/22/2014 15:00,M01AB,0.0,Drugstore B
5/22/2014 21:00,M01AB,1.0,Drugstore B
5/23/2014 10:00,M01AB,0.0,Drugstore B
5/23/2014 17:00,M01AB,0.0,Drugstore B
5/23/2014 20:00,M01AB,0.0,Drugstore B
5/24/2014 5:00,M01AB,0.0,Drugstore B
5/24/2014 8:00,M01AB,0.0,Drugstore B
5/24/2014 21:00,M01AB,0.0,Drugstore B
5/26/2014 0:00,M01AB,0.0,Drugstore B
5/26/2014 14:00,M01AB,0.0,Drugstore B
5/26/2014 23:00,M01AB,0.0,Drugstore B
5/27/2014 11:00,M01AB,0.0,Drugstore B
5/28/2014 9:00,M01AB,0.0,Drugstore B
5/28/2014 11:00,M01AB,0.0,Drugstore B
5/28/2014 14:00,M01AB,0.0,Drugstore B
5/28/2014 18:00,M01AB,0.0,Drugstore B
5/28/2014 19:00,M01AB,0.0,Drugstore B
5/29/2014 6:00,M01AB,0.0,Drugstore B
5/29/2014 8:00,M01AB,0.0,Drugstore B
